Location_name,Latitude,Longitude,Bulk_density,Particle_density,Void_ratio,Porosity,Moisture_content_mass,Moisture_content_volume,Water_holding_capacity,Clay,Silt,Sand,Soil_pH,Total_nitrogen,Extractable_phosphorus,Exchangeable_potassium,Cation_exchange_capacity,Organic_matter,Earthworm_density,SQI,Soil_description,Location_address,Location_description,Soil_type,Taxonomic_classification,Sample_date,Source
Botanical Garden,7.9983115,124.2576084,1.05,2.31,1.2,54.33,32.33,33.67,60.67,29.67,30.67,39.67,6.3,0.16,1.03,73.04,43.86,4.27,1.67,0.6002,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Kidapawan,Typic Paleudults,May-20,Analiza C. Ouano
Cadayunan-Low,7.9959542,124.2592271,0.99,2.3,1.31,56.5,31.67,32,54.67,32,30,38,5.1,0.14,0.66,31.42,33.91,4.06,0,0.4733,"With severe limitations, need immediate soil management rehabilitation",none,none,Adtuyon,Typic Hapludalfs,May-20,Analiza C. Ouano
Cadayunan-Middle,7.9951434,124.2602547,1.1,2.28,1.04,50.86,32,35.67,58.67,34.67,32.33,33,5.4,0.11,0.65,12.16,33.6,4.15,1.33,0.4932,"With severe limitations, need immediate soil management rehabilitation",none,none,Langkong,Typic Paleudults,May-20,Analiza C. Ouano
Cadayunan-High,7.9934315,124.2623827,1.08,2.25,1.09,51.95,31.33,33.67,57.33,29,31.33,39.67,5.3,0.13,1.22,38.07,32.75,4.04,2,0.5427,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Bolinao,Typic Hapludalfs,May-20,Analiza C. Ouano
College of Agriculture-African Daisy,7.9941241,124.2581445,1.06,2.42,1.28,56.26,33.67,36.33,58,35.33,31.33,33.33,5.63,0.11,1.02,53.08,32.17,4.41,0,0.5149,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Kudarangan,Typic Hapludalfs,May-20,Analiza C. Ouano
College of Agriculture-Gabi,7.9934392,124.2580325,1.03,2.5,1.42,58.59,32.33,33.33,55.33,30.33,38,34.67,5.2,0.1,0.47,48.08,12.73,2.92,0,0.5603,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,La Castellana,Typic Humitrudepts,May-20,Analiza C. Ouano
College of Agriculture-Agro 198,7.9926509,124.2578702,1.03,2.42,1.37,57.43,32,32.67,57.33,26.67,32.67,40.67,5.8,0.1,0.88,103.05,30.06,3.33,2,0.5722,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Ruguan,Aquic Hapludalfs,May-20,Analiza C. Ouano
College of Agriculture-Near Plant Science,7.9929554,124.2566582,1.05,2.4,1.29,56.31,33,35,55.33,31,24.33,44.67,5.6,0.11,1.06,104.72,33.6,4.37,1,0.5485,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Binidayan,Typic Hapludalfs,May-20,Analiza C. Ouano
Dairy-Experimental,7.998891,124.252453,0.97,2.44,1.51,60.18,42.33,41,60,34.33,27,38.67,5.3,0.18,0.07,101.39,37.36,6.35,10.67,0.6051,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Malabang,Cold springs from volcanic ash formation,May-20,Analiza C. Ouano
Dairy-Gulayan,7.997164,124.252401,0.91,2.52,1.77,63.88,36.67,33.33,59.33,35,24,41,5.43,0.17,0.14,58.07,33.38,5.78,7.33,0.5804,"With limitations, need immediate soil management strategies, e.g., liming, application of organic matter(OM).",none,none,Caromatan,Developed from two kinds of rocks,May-20,Analiza C. Ouano
